"";"word1";"word2";"n"
"203";"congresso";"derruba";40
"204";"couto";"via";40
"205";"dinheiro";"publico";40
"206";"fatimabezerra";"desgovernadora";40
"207";"prestar";"contas";40
"208";"prorroga";"efeitos";40
"209";"75";"anos";39
"210";"aldir_blanc";"agora";39
"211";"aldir_blanc";"derrubaovetopl795";39
"212";"brasil";"censura";39
"213";"emergencial";"aldir_blanc";39
"214";"feliciano";"lana";39
"215";"politica";"nacional";39
"216";"violencia";"politica";39
"217";"aldir_blanc";"hoje";38
"218";"culturas";"realizado";38
"219";"curta";"metragem";38
"220";"projeto";"realizado";38
"221";"sc";"2021";38
"222";"edital";"premio";37
"223";"lei";"n�";37
"224";"possam";"chegar";37
"225";"precisamos";"garantir";37
"226";"producao";"cultura";37
"227";"aluisiomendesma";"capitao";36
"228";"bate";"papo";36
"229";"capitao";"wagner";36
"230";"cristovao";"bastos";36
"231";"deputadotoninho";"nivaldoalbuque";36
"232";"derrubavetopl795ja";"lei";36
"233";"dia";"31";36
"234";"faz";"parte";36
"235";"nivaldoalbuque";"paulomartins10";36
"236";"politica";"permanente";36
"237";"ponta";"beneficiando";36
"238";"wagner";"deputadotoninho";36
"239";"5";"milhoes";35
"240";"50";"milhoes";35
"241";"aldir_blanc";"direcionada";35
"242";"artes";"visuais";35
"243";"artistas";"contemplados";35
"244";"executado";"atraves";35
"245";"governo";"bolsonaro";35
"246";"nesta";"segunda_feira";35
"247";"nova";"lei";35
"248";"prorrogalei";"aldir_blanc";35
"249";"brasil";"digasimaprorrogacao";34
"250";"catarina";"setor";34
"251";"cultura";"local";34
"252";"derruba";"vetos";34
"253";"federal";"aldir_blanc";34
"254";"lanca";"novo";34
"255";"mil";"reais";34
"256";"premio";"cultura";34
"257";"vacinacao";"obrigatoria";34
"258";"vem";"ai";34
"259";"aldir_blanc";"confira";33
"260";"atencao";"congresso";33
"261";"bolsa";"qualificacao";33
"262";"cultura";"via";33
"263";"divulga";"resultado";33
"264";"edital";"cultura";33
"265";"mapa";"cultura";33
"266";"nacional";"precisa";33
"267";"nao";"pode";33
"268";"21";"respaldando";32
"269";"aldir_blanc";"leia";32
"270";"aldir_blanc";"n�";32
"271";"cultura";"pressione";32
"272";"divulga";"lista";32
"273";"edital";"n�";32
"274";"gira";"mundo";32
"275";"mauro";"guilherme";32
"276";"nao";"sabe";32
"277";"ordamaso";"glaustinfokus";32
"278";"premio";"feliciano";32
"279";"resultado";"preliminar";32
"280";"via";"sitedabaixada";32
"281";"3";"milhoes";31
"282";"aldir_blanc";"leideemergenciacultura";31
"283";"almirante";"negro";31
"284";"bahia";"lei";31
"285";"crispinianoneto";"cade";31
"286";"cultura";"parana";31
"287";"diario";"oficial";31
"288";"estado";"derrubavetolei";31
"289";"fransciscojt";"go";31
"290";"glaustinfokus";"paulobengtson";31
"291";"go";"ordamaso";31
"292";"paulomartins10";"fransciscojt";31
"293";"plataformas";"digitais";31
"294";"politicas";"publicas";31
"295";"segunda";"rodada";31
"296";"ultimo";"dia";31
"297";"urgente";"derrubavetolei";31
"298";"10";"mil";30
"299";"aldir_blanc";"derrubavetopl795ja";30
"300";"aldir_blanc";"prorrogada";30
"301";"aprovalei";"aldir_blanc2";30
"302";"bolsonaro";"sancionou";30
"303";"chamamento";"publico";30
"304";"dia";"30";30
"305";"fatao";"crispiniano";30
"306";"lei";"795";30
"307";"nesta";"quarta_feira";30
"308";"produtores";"cultura";30
"309";"2�";"edicao";29
"310";"aldir_blanc";"veja";29
"311";"bahia";"via";29
"312";"brasil";"aldir_blanc";29
"313";"chamada";"publica";29
"314";"cultura";"artistica";29
"315";"deste";"ano";29
"316";"jair";"bolsonaro";29
"317";"mauricio";"tapajos";29
"318";"5";"mil";28
"319";"acorda";"brasil";28
"320";"aldir_blanc";"lab";28
"321";"aldir_blanc";"serao";28
"322";"augusto";"governo";28
"323";"cultura";"artistas";28
"324";"cultura";"durante";28
"325";"dia";"10";28
"326";"grande";"aldir_blanc";28
"327";"leideemergenciacultura";"novasfacanhasnacultura";28
"328";"recursos";"repassados";28
"329";"acoes";"emergenciais";27
"330";"aldir_blanc";"redirecionada";27
"331";"cultura";"arte";27
"332";"cultura";"nao";27
"333";"dois";"edital";27
"334";"joao";"gilberto";27
"335";"lab";"pe";27
"336";"maistempoparacultura";"aluisiomendesma";27
"337";"mao";"pabb";27
"338";"musica";"brasileira";27
"339";"nacional";"aldir_blanc";27
"340";"nao";"merece";27
"341";"nao";"vai";27
"342";"pabb";"via";27
"343";"secult";"pe";27
"344";"ter";"sido";27
"345";"14";"150";26
"346";"3";"bi";26
"347";"aguas";"vermelhas";26
"348";"aldir_blanc";"saiba";26
"349";"aldir_blanc";"sera";26
"350";"aprovaleipaulogustavo";"aprovalei";26
"351";"cultura";"atraves";26
"352";"cultura";"cultura";26
"353";"cultura";"premio";26
"354";"dia";"24";26
"355";"joao";"bosco";26
"356";"municipios";"terao";26
"357";"sesc";"aldir_blanc";26
"358";"tcu";"publicou";26
"359";"tempo";"aldir_blanc";26
"360";"uniao";"tcu";26
"361";"24";"05";25
"362";"aldir_blanc";"camara";25
"363";"bolsonaro";"vai";25
"364";"centro";"cultura";25
"365";"instagram";"lei";25
"366";"nesta";"semana";25
"367";"nesta";"sexta";25
"368";"norte";"secretaria";25
"369";"recursos";"federais";25
"370";"renda";"emergencial";25
"371";"turismo";"aguas";25
"372";"vai";"rolar";25
"373";"voce";"nao";25
"374";"youtube";"secretaria";25
"375";"2";"0";24
"376";"20";"editalfundacaomarcopolo";24
"377";"2�";"fase";24
"378";"agenda";"virtual";24
"379";"artistas";"locais";24
"380";"campina";"grande";24
"381";"dia";"28";24
"382";"edital";"lei";24
"383";"pre";"save";24
"384";"premio";"aldir_blanc";24
"385";"projeto";"apoiado";24
"386";"prorrogar";"lei";24
"387";"saudoso";"aldir_blanc";24
"388";"secma";"cultura";24
"389";"sera";"realizada";24
"390";"sera";"transmitido";24
"391";"simas";"luiz";24
"392";"tira";"duvidas";24
"393";"795";"vai";23
"394";"agradece";"derrubavetolei";23
"395";"aldir_blanc";"beneficiou";23
"396";"aldir_blanc";"podem";23
"397";"amapa";"via";23
"398";"ap";"associacao";23
"399";"associacao";"gira";23
"400";"brasil";"durante";23
"401";"chibe";"producoes";23
"402";"cultura";"secult";23
"403";"dez";"2021";23
"404";"dia";"27";23
"405";"exposicao";"virtual";23
"406";"fundo";"nacional";23
"407";"mundo";"promove";23
"408";"propostas";"artisticas";23
