"";"word1";"word2";"n"
"3462";"completaria";"hoje";4
"3463";"comunicado";"edital";4
"3464";"conafer";"ira";4
"3465";"concedeu";"liminar";4
"3466";"conclui";"pagamentos";4
"3467";"conexao";"danca";4
"3468";"conexao";"literatura";4
"3469";"confederacao";"nacional";4
"3470";"confira";"aqui";4
"3471";"congada";"lancado";4
"3472";"congresso";"acorda";4
"3473";"conseguiu";"fazer";4
"3474";"conteudos";"artisticos";4
"3475";"conteudos";"ineditos";4
"3476";"contra";"partida";4
"3477";"cota";"dupla";4
"3478";"covid";"aldir_blanc";4
"3479";"criativa";"prorroga";4
"3480";"crise";"sanitaria";4
"3481";"crispinianoneto";"bora";4
"3482";"criticam";"edital";4
"3483";"criticaram";"lei";4
"3484";"cronicas";"paraenses";4
"3485";"cultura";"1";4
"3486";"cultura";"acompanhe";4
"3487";"cultura";"alice";4
"3488";"cultura";"amazonas";4
"3489";"cultura";"audiencia";4
"3490";"cultura";"black";4
"3491";"cultura";"camara";4
"3492";"cultura";"congresso";4
"3493";"cultura";"deve";4
"3494";"cultura";"fez";4
"3495";"cultura";"fotografia";4
"3496";"cultura";"garibaldi";4
"3497";"cultura";"i";4
"3498";"cultura";"juazeiro";4
"3499";"cultura";"lab";4
"3500";"cultura";"micro";4
"3501";"cultura";"municipal";4
"3502";"cultura";"musica";4
"3503";"cultura";"neste";4
"3504";"cultura";"orienta";4
"3505";"cultura";"pode";4
"3506";"cultura";"podem";4
"3507";"cultura";"portaldamafra";4
"3508";"cultura";"premiados";4
"3509";"cultura";"saiu";4
"3510";"cultura";"secretaria";4
"3511";"cultura";"senado";4
"3512";"cultura";"teatro";4
"3513";"cultura";"trabalhadoras";4
"3514";"cultura";"vale";4
"3515";"culturaemnovaiguacu";"lei";4
"3516";"culturape";"lei";4
"3517";"cursos";"gratuitos";4
"3518";"curta";"metragens";4
"3519";"curtem";"otimo";4
"3520";"danca";"incluindo";4
"3521";"danca";"musica";4
"3522";"dando";"continuidade";4
"3523";"daniel";"azulay";4
"3524";"dar";"certo";4
"3525";"dar";"conta";4
"3526";"debate";"lei";4
"3527";"decisao";"inedita";4
"3528";"decreto";"10";4
"3529";"decreto";"ainda";4
"3530";"decreto";"federal";4
"3531";"deixar";"agendado";4
"3532";"del";"fondo";4
"3533";"denunciam";"burocracia";4
"3534";"dep";"aliceportugal";4
"3535";"deputados";"derrubou";4
"3536";"derrubaveto";"lei";4
"3537";"derrubavetos14150";"soscultura";4
"3538";"desde";"2016";4
"3539";"desde";"dezembro";4
"3540";"design";"grafico";4
"3541";"dessa";"turma";4
"3542";"desse";"auxilio";4
"3543";"desse";"desgoverno";4
"3544";"desse";"dinheiro";4
"3545";"destaca";"nesta";4
"3546";"deste";"projeto";4
"3547";"deste";"sabado";4
"3548";"deu";"dinheiro";4
"3549";"deu";"nome";4
"3550";"deus";"dara";4
"3551";"deve";"destravar";4
"3552";"devem";"ter";4
"3553";"dez";"21";4
"3554";"dia";"07";4
"3555";"dia";"6";4
"3556";"dia";"9";4
"3557";"dia";"importante";4
"3558";"dia";"vitimas";4
"3559";"dias";"15";4
"3560";"dias";"27";4
"3561";"dias";"9";4
"3562";"dias";"apos";4
"3563";"dinheiro";"facil";4
"3564";"dinheiro";"nao";4
"3565";"dinheiro";"repassado";4
"3566";"dinossauros";"paleontologia";4
"3567";"direita";"burra";4
"3568";"dirigentes";"estaduais";4
"3569";"disponivel";"pixelart";4
"3570";"ditadura";"militar";4
"3571";"diversos";"estados";4
"3572";"diversos";"segmentos";4
"3573";"diversos";"setores";4
"3574";"divulgados";"resultados";4
"3575";"divulgou";"nesta";4
"3576";"diz";"respeito";4
"3577";"doacao";"civil";4
"3578";"doenca";"maldita";4
"3579";"dois";"albuns";4
"3580";"dois";"genios";4
"3581";"dois";"grandes";4
"3582";"domingo";"16";4
"3583";"domingo";"20";4
"3584";"domingo";"29";4
"3585";"dona";"cadu";4
"3586";"dona";"maria";4
"3587";"doutrinacao";"feminista";4
"3588";"download";"gratuito";4
"3589";"duas";"obras";4
"3590";"duas";"oficinas";4
"3591";"duas";"sessoes";4
"3592";"durante";"audiencia";4
"3593";"dvd";"produzido";4
"3594";"edicao";"pedro";4
"3595";"edital";"01";4
"3596";"edital";"ainda";4
"3597";"edital";"aqui";4
"3598";"edital";"arte";4
"3599";"edital";"devem";4
"3600";"edital";"estaduais";4
"3601";"edital";"geral";4
"3602";"edital";"juventude";4
"3603";"edital";"patrimonio";4
"3604";"editalcultura";"novaiguacu";4
"3605";"eduardo";"leite";4
"3606";"eduardo";"paes";4
"3607";"educacao";"publica";4
"3608";"efeitos";"negativos";4
"3609";"ei";"voce";4
"3610";"eli";"borges";4
"3611";"elifas";"andreato";4
"3612";"elite";"cultura";4
"3613";"emergenciacultura";"lei";4
"3614";"emergenciais";"destinadas";4
"3615";"emergencial";"p";4
"3616";"emite";"nota";4
"3617";"ensino";"superior";4
"3618";"entrevista";"completa";4
"3619";"equilibrista";"aldir_blanc";4
"3620";"equipe";"tecnica";4
"3621";"erick";"castro";4
"3622";"erva";"mate";4
"3623";"escreveu";"aldir_blanc";4
"3624";"escrita";"criativa";4
"3625";"espera";"acabou";4
"3626";"esperanca";"danca";4
"3627";"espetaculos";"acontecerao";4
"3628";"esporte";"lazer";4
"3629";"esquerdistas";"beneficiados";4
"3630";"estacao";"cultura";4
"3631";"estado";"emite";4
"3632";"estados";"distrito";4
"3633";"estende";"prorrogacao";4
"3634";"estendeu";"prazo";4
"3635";"estreia";"prevista";4
"3636";"etapa";"apos";4
"3637";"eterna";"crianca";4
"3638";"eterno";"aldir_blanc";4
"3639";"ex";"assessor";4
"3640";"excessiva";"irregularidades";4
"3641";"exclui";"alguns";4
"3642";"executar";"projeto";4
"3643";"expoe";"exclusao";4
"3644";"facebook";"instagram";4
"3645";"faco";"parte";4
"3646";"faixas";"extras";4
"3647";"fala";"paraiba";4
"3648";"faltam";"3";4
"3649";"famup";"alerta";4
"3650";"farolsantamarta";"lei";4
"3651";"fase";"del";4
"3652";"faz";"aldir_blanc";4
"3653";"faz";"muita";4
"3654";"faz";"nada";4
"3655";"faz";"navio";4
"3656";"faz";"tempo";4
"3657";"fazem";"projecoes";4
"3658";"fazendo";"projeto";4
"3659";"fazer";"algo";4
"3660";"fazer";"artistico";4
"3661";"fazer";"belos";4
"3662";"fazer";"inscricao";4
"3663";"fazer";"projeto";4
"3664";"fazer";"propaganda";4
"3665";"fcms";"publica";4
"3666";"fcp";"2021";4
"3667";"federal";"altera";4
"3668";"federal";"jandira";4
"3669";"federal";"lei";4
"3670";"federalismo";"brasileiro";4
"3671";"feghali";"dasilvabenedita";4
"3672";"feliz";"natal";4
"3673";"feminista";"lei";4
"3674";"ferreira";"g1";4
"3675";"festa";"literaria";4
"3676";"festivais";"integrados";4
"3677";"festival";"internacional";4
"3678";"festival";"pachamama";4
"3679";"festival";"rocksertao20anos";4
"3680";"festival";"roda";4
"3681";"fgm";"lanca";4
"3682";"fica";"disponivel";4
"3683";"fighting";"stigma";4
"3684";"financiamento";"cultura";4
"3685";"fins";"politicos";4
"3686";"fiquem";"ligados";4
"3687";"fiuk";"nao";4
"3688";"fiz";"tanta";4
"3689";"flavio";"dino";4
"3690";"florianopolis";"ndmais";4
"3691";"fomento";"permanente";4
"3692";"forma";"ludica";4
"3693";"forma";"presencial";4
"3694";"forma";"virtual";4
"3695";"fosseis";"ciencia";4
"3696";"fotografia";"via";4
"3697";"frente";"ampla";4
"3698";"frente";"parlamentar";4
"3699";"funcaju";"prorroga";4
"3700";"fundacaomarcopolo";"dinossauros";4
"3701";"fundacaomarcopolo";"musico";4
"3702";"funjope";"aldir_blanc";4
"3703";"games";"digitais";4
"3704";"garanhuns";"abre";4
"3705";"garantir";"apoio";4
"3706";"garantiu";"auxilio";4
"3707";"gas";"lei";4
"3708";"genero";"distribuicao";4
"3709";"gente";"talentosa";4
"3710";"gentebuena";"musicabrasileira";4
"3711";"geologia";"prehistoria";4
"3712";"gerais";"portanto";4
"3713";"gestao";"pagou";4
"3714";"gloria";"groove";4
"3715";"goiania";"abre";4
"3716";"goiania";"goias";4
"3717";"goiania";"lanca";4
"3718";"goianos";"nao";4
"3719";"goias";"brazil";4
"3720";"goias";"lei";4
"3721";"goias";"via";4
"3722";"gov";"df";4
"3723";"governo";"bozo";4
"3724";"governo";"colbert";4
"3725";"governodoestadodesaopaulo";"secretariadeculturaeeconomiacriativa";4
"3726";"governofederal";"lei";4
"3727";"governos";"estaduais";4
"3728";"govmatogrosso";"secelmt";4
"3729";"grande";"abre";4
"3730";"grande";"brasileiro";4
"3731";"grande";"compositor";4
"3732";"grande";"pre";4
"3733";"grande";"publico";4
"3734";"gravatal";"hoteltermasoficial";4
"3735";"ha";"exato";4
"3736";"ha";"nada";4
"3737";"haddad";"fernando";4
"3738";"havia";"sido";4
"3739";"helio";"serejo";4
"3740";"henriq";"arq";4
"3741";"historia";"pluralidade";4
"3742";"historico";"ep";4
"3743";"hoje";"01";4
"3744";"hoje";"23";4
"3745";"hoje";"dia";4
"3746";"hoje";"estreia";4
"3747";"hoje";"sancionada";4
"3748";"hoje";"vai";4
"3749";"hoje";"via";4
"3750";"homologacao";"final";4
"3751";"hop";"premia";4
"3752";"horas";"lei";4
"3753";"hoteltermasoficial";"canasvieiras";4
"3754";"iii";"semana";4
"3755";"impostos";"nao";4
"3756";"inciso";"iii";4
"3757";"incluindo";"programacao";4
"3758";"inedito";"via";4
"3759";"infantil";"publicado";4
"3760";"informacoes";"acesse";4
"3761";"iniciativa";"busca";4
"3762";"iniciativa";"conta";4
"3763";"instagram";"via";4
"3764";"investiga";"secretaria";4
"3765";"ipojuca";"divulga";4
"3766";"ira";"beneficiar";4
"3767";"iran";"barbosa";4
"3768";"itajai";"sc";4
"3769";"its";"dan";4
"3770";"ituacu";"realiza";4
"3771";"izalourenca";"macaeevaristo";4
"3772";"jacarei";"producao";4
"3773";"jacuipe";"prefeitura";4
"3774";"jairbolsonaro";"nao";4
"3775";"jairbolsonaro";"seis";4
"3776";"jamais";"esquecer";4
"3777";"jatoba";"filmes";4
"3778";"joao";"carlos";4
"3779";"joao";"claudino";4
"3780";"jobim";"akarore";4
"3781";"jogos";"digitais";4
"3782";"jose";"guimaraes";4
"3783";"jovempannews";"recomendo";4
"3784";"joyce";"moreno";4
"3785";"jozzartista";"jozzquadrinista";4
"3786";"juazeiro";"divulga";4
"3787";"kao";"mestre";4
"3788";"l3itadas";"l03n";4
"3789";"lab";"2021";4
"3790";"labpe";"lei";4
"3791";"laguna";"farolsantamarta";4
"3792";"lanca";"20";4
"3793";"lanca";"agenda";4
"3794";"lanca";"dvd";4
"3795";"lanca";"oito";4
"3796";"lancado";"neste";4
"3797";"lancam";"site";4
"3798";"lancamento";"acontece";4
"3799";"lancou";"nesta";4
"3800";"lei";"13979";4
"3801";"lei";"aldir_blancjau";4
"3802";"lei";"audir";4
"3803";"lei";"maria";4
"3804";"lei";"nao";4
"3805";"lei";"pl";4
"3806";"leis";"rouanet";4
"3807";"leitura";"lei";4
"3808";"lembrete";"lei";4
"3809";"letrista";"compositor";4
"3810";"leu";"aldir_blanc";4
"3811";"leva";"cultura";4
"3812";"leva";"poesia";4
"3813";"levou";"aldir_blanc";4
"3814";"liana";"alamanda";4
"3815";"libera";"quase";4
"3816";"linda";"homenagem";4
"3817";"lingua";"portuguesa";4
"3818";"link";"aqui";4
"3819";"listas";"retificadas";4
"3820";"live";"cancoes";4
"3821";"live";"siba";4
"3822";"live";"tira";4
"3823";"livro";"lancado";4
"3824";"local";"lei";4
"3825";"luis";"marques";4
"3826";"luiz";"gonzaga";4
"3827";"lula";"2002";4
"3828";"luta";"contra";4
"3829";"lutaremos";"contra";4
"3830";"luto";"oficial";4
"3831";"macae";"destaca";4
"3832";"maceio";"lancam";4
"3833";"macro";"web";4
"3834";"maistempoparaculturaja";"equipeaurea";4
"3835";"mandato";"coletivo";4
"3836";"manga39";"falemos11";4
"3837";"manifestacao";"cultura";4
"3838";"manifesto";"rock";4
"3839";"mapeamento";"cultura";4
"3840";"maranhao";"secma";4
"3841";"marcelomonteiro";"pipopegoraro";4
"3842";"marcia";"short";4
"3843";"marco";"album";4
"3844";"marco";"projeto";4
"3845";"mari";"ferrer";4
"3846";"maria";"bethania";4
"3847";"marilia";"mendonca";4
"3848";"mato";"grossense";4
"3849";"mauro";"ferreira";4
"3850";"meia";"noite";4
"3851";"meio";"artistico";4
"3852";"melhor";"aproveitou";4
"3853";"memoria";"musical";4
"3854";"mendes";"paraiba";4
"3855";"mendes";"socorro";4
"3856";"mestra";"centenaria";4
"3857";"mestre";"obashanan";4
"3858";"mfriasoficial";"aldir_blanc";4
"3859";"mfriasoficial";"culturagovbr";4
"3860";"mil";"propostas";4
"3861";"mil";"vagas";4
"3862";"mil";"via";4
"3863";"milhoes";"viva";4
"3864";"minas";"armadas";4
"3865";"mobilizacao";"total";4
"3866";"momento";"critico";4
"3867";"morais";"moreira";4
"3868";"mostra";"feira";4
"3869";"mostra";"virtual";4
"3870";"mostrar";"quantos";4
"3871";"muita";"falta";4
"3872";"muita";"pressao";4
"3873";"muita";"saudade";4
"3874";"muitos";"anos";4
"3875";"muitos";"outros";4
"3876";"mulher";"negra";4
"3877";"mulheres";"sambadeiras";4
"3878";"multa";"empregadores";4
"3879";"municipios";"baianos";4
"3880";"municipios";"derruba";4
"3881";"municipios";"quanto";4
"3882";"municipios";"usarem";4
"3883";"municipios";"utilizem";4
"3884";"music";"charme";4
"3885";"musica";"aldir_blanc";4
"3886";"musica";"caminho";4
"3887";"musica";"classica";4
"3888";"musicabrasileira";"multiregionalismo";4
"3889";"musicais";"aprovados";4
"3890";"mystlee";"falemos11";4
"3891";"nacional";"lei";4
"3892";"nacional";"vota";4
"3893";"nada";"melhor";4
"3894";"nada";"mudou";4
"3895";"nao";"aguento";4
"3896";"nao";"bastasse";4
"3897";"nao";"comecou";4
"3898";"nao";"conseguem";4
"3899";"nao";"criticaram";4
"3900";"nao";"entenderam";4
"3901";"nao";"entendeu";4
"3902";"nao";"entendo";4
"3903";"nao";"falta";4
"3904";"nao";"fiz";4
"3905";"nao";"gosta";4
"3906";"nao";"habilitados";4
"3907";"nao";"morre";4
"3908";"nao";"mudou";4
"3909";"nao";"paga";4
"3910";"nao";"pagamento";4
"3911";"nao";"pagou";4
"3912";"nao";"parece";4
"3913";"nao";"passou";4
"3914";"nao";"puder";4
"3915";"nao";"rolou";4
"3916";"nao";"sai";4
"3917";"nao";"sancionou";4
"3918";"nao";"soube";4
"3919";"nao";"vamos";4
"3920";"nao";"vejo";4
"3921";"navio";"negreiro";4
"3922";"negreiro";"emergir";4
"3923";"nei";"lopes";4
"3924";"nenhum";"direito";4
"3925";"nero";"cantando";4
"3926";"nero";"virulencia";4
"3927";"nessa";"luta";4
"3928";"nesse";"link";4
"3929";"nesse";"sentido";4
"3930";"neste";"periodo";4
"3931";"neto";"cade";4
"3932";"nilopolisonline";"saiba";4
"3933";"n�";"04";4
"3934";"n�14";"017";4
"3935";"noarcoquetelmolotov";"coquetelmolotovexe";4
"3936";"nome";"nao";4
"3937";"nomes";"contemplados";4
"3938";"nordeste";"cultura";4
"3939";"norma";"afasta";4
"3940";"notei";"pois";4
"3941";"notificacao";"periclescavalcanti";4
"3942";"noturna";"aldir_blanc";4
"3943";"nova";"norma";4
"3944";"nova";"rouanet";4
"3945";"novas";"exposicoes";4
"3946";"novo";"disco";4
"3947";"novo";"livro";4
"3948";"novo";"single";4
"3949";"novo";"trabalho";4
"3950";"nunca";"vi";4
"3951";"obashanan";"projeto";4
"3952";"obra";"prima";4
"3953";"obra";"sera";4
"3954";"obras";"comentadas";4
"3955";"obrigada";"aldir_blanc";4
"3956";"obrigada";"lei";4
"3957";"obrigatoria";"lei";4
"3958";"oferece";"11";4
"3959";"oferece";"apoio";4
"3960";"oferecida";"gratuitamente";4
"3961";"oficina";"gratuita";4
"3962";"oficina";"introducao";4
"3963";"oficinas";"artisticas";4
"3964";"oi";"gente";4
"3965";"olhos";"rimel";4
"3966";"online";"lei";4
"3967";"ordinarius";"lanca";4
"3968";"orientam";"gestores";4
"3969";"orquestra";"amazonica";4
"3970";"otimo";"trabalho";4
"3971";"outras";"coisas";4
"3972";"outras";"linguagens";4
"3973";"outros";"setores";4
"3974";"pagode";"baiano";4
"3975";"pagou";"verbas";4
"3976";"palavra";"perder";4
"3977";"paleontologia";"fosseis";4
"3978";"palestrante";"sera";4
"3979";"palma";"som";4
"3980";"pandemia";"ainda";4
"3981";"papo";"sera";4
"3982";"paraiba";"2021";4
"3983";"paraiba";"devem";4
"3984";"paraiba";"edital";4
"3985";"paraiba";"lei";4
"3986";"paraiba";"via";4
"3987";"parana";"84";4
"3988";"parana";"criativo";4
"3989";"parana";"cultura";4
"3990";"parceiros";"novos";4
"3991";"passado";"lei";4
"3992";"patria";"amada";4
"3993";"patrimonio";"historico";4
"3994";"patrocina";"pautas";4
"3995";"paulo";"guedes";4
"3996";"paulo";"mendes";4
"3997";"paulo_gustavo";"sao";4
"3998";"paulochuchusbc";"mfriasoficial";4
"3999";"pb";"prestar";4
"4000";"pcdob";"vai";4
"4001";"pe";"culturape";4
"4002";"pedro";"palma";4
"4003";"pena";"maior";4
"4004";"pensando";"aqui";4
"4005";"perder";"tudo";4
"4006";"periclescavalcanti";"periclescavalcanti";4
"4007";"periferia";"aldir_blanc";4
"4008";"pernambuco";"lanca";4
"4009";"pessoal";"nao";4
"4010";"pessoas";"sao";4
"4011";"petistas";"kassio";4
"4012";"pi";"governo";4
"4013";"pia";"carioca";4
"4014";"piano";"celebra";4
"4015";"piau";"ururau";4
"4016";"piaui";"siec";4
"4017";"pinheiro";"faz";4
"4018";"pink";"star";4
"4019";"pior";"gestao";4
"4020";"pixel";"art";4
"4021";"pixelart";"arte";4
"4022";"pl";"299";4
"4023";"plataforma";"zoom";4
"4024";"plenaria";"geral";4
"4025";"plp";"paulo_gustavo";4
"4026";"pluralidade";"inclusao";4
"4027";"pm";"policiamilitar";4
"4028";"pmdf";"pm";4
"4029";"podcast";"poesias";4
"4030";"podcast";"publicaremos";4
"4031";"pode";"mudar";4
"4032";"poesia";"sociais";4
"4033";"poesias";"baianas";4
"4034";"polemica";"lei";4
"4035";"policia";"pmdf";4
"4036";"policiacivil";"segurancapublica";4
"4037";"policiamentocomunitario";"policia";4
"4038";"policiamilitar";"policiacivil";4
"4039";"politicos";"ideologicos";4
"4040";"porecramecra";"jobim";4
"4041";"portal";"cultura";4
"4042";"portaldamafra";"jornalismo";4
"4043";"portugal";"derrubavetolei";4
"4044";"possivel";"fazer";4
"4045";"povo";"negro";4
"4046";"povos";"originarios";4
"4047";"pre";"historico";4
"4048";"precisa";"sancionar";4
"4049";"precisamos";"dessa";4
"4050";"prefeito";"rogerio";4
"4051";"prefeitura";"convoca";4
"4052";"prefeitura";"publica";4
"4053";"prefeituradeitajuba";"aldir_blanc";4
"4054";"premia";"mestres";4
"4055";"premia";"vencedor";4
"4056";"premiacao";"aldir_blanc";4
"4057";"premio";"emilia";4
"4058";"premio";"janelas";4
"4059";"premio";"multicultura";4
"4060";"premio";"riachao";4
"4061";"premio";"trajetoria";4
"4062";"premios";"feliciano";4
"4063";"prepara";"reabertura";4
"4064";"pretaforma";"leideemergenciacultura";4
"4065";"primeira";"lei";4
"4066";"primeiro";"edital";4
"4067";"primeiro";"video";4
"4068";"proac";"aldir_blanc";4
"4069";"proac";"governofederal";4
"4070";"producao";"cesar";4
"4071";"producao";"cinematografica";4
"4072";"producao";"musical";4
"4073";"professor";"universitario";4
"4074";"programacao";"sera";4
"4075";"projeto";"artistico";4
"4076";"projeto";"cinema";4
"4077";"projeto";"desenvolvido";4
"4078";"projeto";"lindo";4
"4079";"projeto";"muro";4
"4080";"projeto";"obras";4
"4081";"projeto";"ocupacao";4
"4082";"projeto";"oficina";4
"4083";"projeto";"patrocinado";4
"4084";"projeto";"premiados";4
"4085";"projeto";"promove";4
"4086";"projeto";"prorroga";4
"4087";"projeto";"sao";4
"4088";"propostas";"cultura";4
"4089";"propostas";"inscritas";4
"4090";"proprio";"governo";4
"4091";"prorroga";"uso";4
"4092";"prorrogada";"publicacao";4
"4093";"prorrogada";"vitoria";4
"4094";"prorrogajalei";"aldir_blanc";4
"4095";"prosa";"verso";4
"4096";"proxima";"aldir_blanc";4
"4097";"proximo";"domingo";4
"4098";"proximo";"passo";4
"4099";"publicacoes";"sao";4
"4100";"publicados";"nesta";4
"4101";"publico";"podera";4
"4102";"puro";"recalque";4
"4103";"quadrilhas";"juninas";4
"4104";"qualquer";"momento";4
"4105";"quarta_feira";"1�";4
"4106";"quarta_feira";"31";4
"4107";"quarta_feira";"9";4
"4108";"quer";"aprender";4
"4109";"quer";"extinguir";4
"4110";"questoes";"sociais";4
"4111";"quinta";"13";4
"4112";"quinta_feira";"22";4
"4113";"quinta_feira";"30";4
"4114";"quinta_feira";"4";4
"4115";"radio";"agencia";4
"4116";"ralf";"ralf13";4
"4117";"raul";"seixas";4
"4118";"re";"exibicao";4
"4119";"realiza";"1�";4
"4120";"realiza";"nesta";4
"4121";"realiza";"pagamentos";4
"4122";"realiza";"reuniao";4
"4123";"realizacao";"cultura";4
"4124";"realmente";"precisam";4
"4125";"rec";"beat";4
"4126";"recbeat";"lei";4
"4127";"receber";"auxilio";4
"4128";"receberao";"premio";4
"4129";"recebeu";"apoio";4
"4130";"recurso";"publico";4
"4131";"recurso";"vai";4
"4132";"recursos";"previstos";4
"4133";"recursos";"proprios";4
"4134";"recursos";"provenientes";4
"4135";"rede";"social";4
"4136";"redireciona";"800";4
"4137";"regional";"nordestina";4
"4138";"registro";"audiovisual";4
"4139";"repasses";"federais";4
"4140";"residencia";"artistica";4
"4141";"restricoes";"impostas";4
"4142";"reta";"final";4
"4143";"reune";"representantes";4
"4144";"revista";"prosa";4
"4145";"ri";"diz";4
"4146";"ribeirao";"preto";4
"4147";"ribeiro";"lanca";4
"4148";"rocha";"pt";4
"4149";"roda";"cultura";4
"4150";"roncou";"roncou";4
"4151";"rondonia";"prepara";4
"4152";"rosa";"aldir_blanc";4
"4153";"rurais";"sao";4
"4154";"sabado";"18";4
"4155";"sabado";"26";4
"4156";"sabado";"8";4
"4157";"sabe";"ficar";4
"4158";"sabrina";"azevedo";4
"4159";"saldo";"residual";4
"4160";"salvador";"aprova";4
"4161";"sancionada";"prorrogacao";4
"4162";"sancionaja";"lei";4
"4163";"santana";"anuncia";4
"4164";"santana";"publica";4
"4165";"santarem";"mulher";4
"4166";"santos";"estara";4
"4167";"sao";"artistas";4
"4168";"sao";"desiderio";4
"4169";"sao";"dois";4
"4170";"sao";"felix";4
"4171";"sao";"lancados";4
"4172";"sao";"leis";4
"4173";"sao";"limitadas";4
"4174";"sao";"obras";4
"4175";"sao";"oferecidos";4
"4176";"sao";"tres";4
"4177";"sao_paulo";"via";4
"4178";"saude";"mental";4
"4179";"secelmt";"thechanels";4
"4180";"secretariadeculturaeeconomiacriativa";"proac";4
"4181";"secult";"governo";4
"4182";"secult";"informa";4
"4183";"secult";"premia";4
"4184";"secult";"via";4
"4185";"secultba";"lanca";4
"4186";"secultpa";"aldir_blanc";4
"4187";"secultpi";"piaui";4
"4188";"segmentos";"artisticos";4
"4189";"seguimos";"firmes";4
"4190";"segunda";"divisao";4
"4191";"segunda";"live";4
"4192";"segunda_feira";"27";4
"4193";"segunda_feira";"29";4
"4194";"segunda_feira";"8";4
"4195";"segundo";"episodio";4
"4196";"sejucel";"divulga";4
"4197";"selecao";"publica";4
"4198";"semana";"amapaense";4
"4199";"semana";"prefeiturainforma";4
"4200";"semana";"veja";4
"4201";"seminario";"lgbt";4
"4202";"senado";"agora";4
"4203";"sendo";"beneficiados";4
"4204";"septeto";"vocal";4
"4205";"sera";"feito";4
"4206";"serao";"5";4
"4207";"serao";"abertas";4
"4208";"serao";"apresentadas";4
"4209";"serao";"beneficiados";4
"4210";"serao";"exibidos";4
"4211";"serao";"ministradas";4
"4212";"serao";"nove";4
"4213";"serao";"postados";4
"4214";"serao";"selecionados";4
"4215";"serao";"votados";4
"4216";"sergio";"cardoso";4
"4217";"sergipe";"programa";4
"4218";"serie";"artistas";4
"4219";"serie";"documental";4
"4220";"seropedica";"culturarj";4
"4221";"servicos";"essenciais";4
"4222";"sescpa";"secultpa";4
"4223";"setembro";"acesse";4
"4224";"setembro";"prazo";4
"4225";"setembro";"via";4
"4226";"sexta";"26";4
"4227";"sexta_feira";"16";4
"4228";"sexta_feira";"7";4
"4229";"sho";"lei";4
"4230";"shock";"wave";4
"4231";"show";"cancoes30anos";4
"4232";"sido";"aprovado";4
"4233";"sido";"pago";4
"4234";"siec";"ministerio";4
"4235";"silva";"jr";4
"4236";"simplesmente";"nao";4
"4237";"site";"aldir_blanc";4
"4238";"site";"premiado";4
"4239";"smculturasp";"lei";4
"4240";"sociais";"lei";4
"4241";"sociais";"leva";4
"4242";"socorrer";"artistas";4
"4243";"socorro";"mendes";4
"4244";"sofrimento";"silencioso";4
"4245";"solicitarem";"recursos";4
"4246";"soscultura";"prorrogalab";4
"4247";"soscultura";"prorrogalei";4
"4248";"sou1de11milhoes";"lei";4
"4249";"soube";"amadurecer";4
"4250";"sp";"destina";4
"4251";"sp";"lei";4
"4252";"splash";"uol";4
"4253";"sr";"aldir_blanc";4
"4254";"steh";"papaiano";4
"4255";"stop";"motion";4
"4256";"tag";"derrubavetolei";4
"4257";"tanto";"dinheiro";4
"4258";"tao";"atual";4
"4259";"tao";"grande";4
"4260";"tcu";"prorroga";4
"4261";"teatro";"escola";4
"4262";"teatro";"musica";4
"4263";"teatro";"online";4
"4264";"teatro";"vila";4
"4265";"tecnicas";"orientam";4
"4266";"tema";"historico";4
"4267";"temporada";"gratis";4
"4268";"ter";"tido";4
"4269";"tera";"livro";4
"4270";"terca";"14";4
"4271";"terca_feira";"7";4
"4272";"terminam";"hoje";4
"4273";"texto";"principal";4
"4274";"thechanels";"aldir_blanc";4
"4275";"tim";"maia";4
"4276";"tirar";"todas";4
"4277";"toninho";"borges";4
"4278";"trabalho";"autoral";4
"4279";"trabalho";"lindo";4
"4280";"transmitido";"atraves";4
"4281";"tratamento";"precoce";4
"4282";"tres";"cotacoes";4
"4283";"tripdosulpromundo";"laguna";4
"4284";"tudo";"govmatogrosso";4
"4285";"tudo";"gratuito";4
"4286";"turismo";"cultura";4
"4287";"turismo";"secult";4
"4288";"turismoonline";"ultimasnoticias";4
"4289";"tv";"boitempo";4
"4290";"uberaba";"lanca";4
"4291";"ultima";"apresentacao";4
"4292";"ultima";"live";4
"4293";"ultima";"quinta_feira";4
"4294";"ultima";"re";4
"4295";"ultima";"terca_feira";4
"4296";"ultimo";"evento";4
"4297";"ultimo";"projeto";4
"4298";"ultimos";"anos";4
"4299";"urgencia";"agora";4
"4300";"ursula";"vidal";4
"4301";"ururau";"aki";4
"4302";"vacinaja";"forumdeemergenciaculturadoparana";4
"4303";"vacinas";"anti";4
"4304";"vagas";"sao";4
"4305";"vai";"aprovar";4
"4306";"vai";"cobrar";4
"4307";"vai";"concorrer";4
"4308";"vai";"falar";4
"4309";"vai";"levar";4
"4310";"vai";"poder";4
"4311";"vai";"receber";4
"4312";"vai";"reunir";4
"4313";"vai";"saber";4
"4314";"vai";"selecionar";4
"4315";"vai";"ver";4
"4316";"valores";"remanescentes";4
"4317";"vamos";"derrubar";4
"4318";"vamos";"discutir";4
"4319";"vamos";"precisar";4
"4320";"vamos";"tirar";4
"4321";"vamos";"ver";4
"4322";"vao";"poder";4
"4323";"varias";"coisas";4
"4324";"vem";"conferir";4
"4325";"verba";"destinada";4
"4326";"vereador";"fausto";4
"4327";"via";"conversapolitica";4
